scroll_id,unit_type,unit_size,glyphs,dag_depth,complexity,latency_ms,coherence,throughput
sniper_pair_00000,sniper_pair,2,🜅🔷🜰🜰🜋,4,0.8,45.56135954999579,0.9838,21.94842317869534
sniper_pair_00001,sniper_pair,2,🜋🜰🜄🜁,3,0.75,45.558859549995795,0.9848,21.94962757798208
sniper_pair_00002,sniper_pair,2,🜃🜁🜋🜁🜋🜌,5,0.8333333333333334,45.56302621666246,0.9831333333333333,21.947620319264455
sniper_pair_00003,sniper_pair,2,🜌🜅🜁,2,0.6666666666666666,45.554692883329125,0.9864666666666667,21.951635203888138
sniper_pair_00004,sniper_pair,2,🔷🜁🜰,2,0.6666666666666666,45.554692883329125,0.9864666666666667,21.951635203888138
sniper_pair_00005,sniper_pair,2,🜄🜅🜌🜅🜅,4,0.8,45.56135954999579,0.9838,21.94842317869534
sniper_pair_00006,sniper_pair,2,🜁🜋🜰,2,0.6666666666666666,45.554692883329125,0.9864666666666667,21.951635203888138
sniper_pair_00007,sniper_pair,2,🜰🜅🜌,2,0.6666666666666666,45.554692883329125,0.9864666666666667,21.951635203888138
sniper_pair_00008,sniper_pair,2,🜌🜅🜋🜌🜅🜄,5,0.8333333333333334,45.56302621666246,0.9831333333333333,21.947620319264455
sniper_pair_00009,sniper_pair,2,🜄🜰🜄🜃🜃🜰,5,0.8333333333333334,45.56302621666246,0.9831333333333333,21.947620319264455
sniper_pair_00010,sniper_pair,2,🜃🜰🜃🔷🜄,4,0.8,45.56135954999579,0.9838,21.94842317869534
sniper_pair_00011,sniper_pair,2,🜋🜰🔷🜁🜄,4,0.8,45.56135954999579,0.9838,21.94842317869534
sniper_pair_00012,sniper_pair,2,🜋🜅🜁,2,0.6666666666666666,45.554692883329125,0.9864666666666667,21.951635203888138
sniper_pair_00013,sniper_pair,2,🜄🜁🜁🜃🜰🜌,5,0.8333333333333334,45.56302621666246,0.9831333333333333,21.947620319264455
sniper_pair_00014,sniper_pair,2,🔷🜄🜄🜋,3,0.75,45.558859549995795,0.9848,21.94962757798208
sniper_pair_00015,sniper_pair,2,🜃🜅🔷🜁🜋🜄,5,0.8333333333333334,45.56302621666246,0.9831333333333333,21.947620319264455
